sehir_adi,analiz_baslangic_tarih,analiz_baslangic_saat,analiz_bitis_tarih,analiz_bitis_saat,sonuc
Ağrı,22-01-2024,00:00,28-01-2024,23:59,0.16
Amasya,22-01-2024,00:00,28-01-2024,23:59,0.12
Ankara,22-01-2024,00:00,28-01-2024,23:59,0.22
Antalya,22-01-2024,00:00,28-01-2024,23:59,0.19
Artvin,22-01-2024,00:00,28-01-2024,23:59,0.18
Aydın,22-01-2024,00:00,28-01-2024,23:59,0.23
Balıkesir,22-01-2024,00:00,28-01-2024,23:59,0.15
Bilecik,22-01-2024,00:00,28-01-2024,23:59,0.14
Bingöl,22-01-2024,00:00,28-01-2024,23:59,0.13
Bitlis,22-01-2024,00:00,28-01-2024,23:59,0.2
Bolu,22-01-2024,00:00,28-01-2024,23:59,0.19
Burdur,22-01-2024,00:00,28-01-2024,23:59,0.1
Bursa,22-01-2024,00:00,28-01-2024,23:59,0.32
Çanakkale,22-01-2024,00:00,28-01-2024,23:59,0.14
Çankırı,22-01-2024,00:00,28-01-2024,23:59,0.1
Çorum,22-01-2024,00:00,28-01-2024,23:59,0.11
Denizli,22-01-2024,00:00,28-01-2024,23:59,0.22
Diyarbakır,22-01-2024,00:00,28-01-2024,23:59,0.16
Edirne,22-01-2024,00:00,28-01-2024,23:59,0.18
Elazığ,22-01-2024,00:00,28-01-2024,23:59,0.14
Erzincan,22-01-2024,00:00,28-01-2024,23:59,0.14
Erzurum,22-01-2024,00:00,28-01-2024,23:59,0.18
Eskişehir,22-01-2024,00:00,28-01-2024,23:59,0.17
Gaziantep,22-01-2024,00:00,28-01-2024,23:59,0.2
Giresun,22-01-2024,00:00,28-01-2024,23:59,0.17
Gümüşhane,22-01-2024,00:00,28-01-2024,23:59,0.11
Hakkari,22-01-2024,00:00,28-01-2024,23:59,0.18
Hatay,22-01-2024,00:00,28-01-2024,23:59,0.25
Isparta,22-01-2024,00:00,28-01-2024,23:59,0.17
Mersin,22-01-2024,00:00,28-01-2024,23:59,0.24
İstanbul,22-01-2024,00:00,28-01-2024,23:59,0.41
İzmir,22-01-2024,00:00,28-01-2024,23:59,0.32
Kars,22-01-2024,00:00,28-01-2024,23:59,0.17
Kastamonu,22-01-2024,00:00,28-01-2024,23:59,0.13
Kayseri,22-01-2024,00:00,28-01-2024,23:59,0.16
Kırklareli,22-01-2024,00:00,28-01-2024,23:59,0.11
Kırşehir,22-01-2024,00:00,28-01-2024,23:59,0.12
Kocaeli,22-01-2024,00:00,28-01-2024,23:59,0.24
Konya,22-01-2024,00:00,28-01-2024,23:59,0.14
Kütahya,22-01-2024,00:00,28-01-2024,23:59,0.1
Malatya,22-01-2024,00:00,28-01-2024,23:59,0.16
Manisa,22-01-2024,00:00,28-01-2024,23:59,0.21
Kahramanmaraş,22-01-2024,00:00,28-01-2024,23:59,0.16
Mardin,22-01-2024,00:00,28-01-2024,23:59,0.18
Muğla,22-01-2024,00:00,28-01-2024,23:59,0.15
Muş,22-01-2024,00:00,28-01-2024,23:59,0.18
Nevşehir,22-01-2024,00:00,28-01-2024,23:59,0.16
Niğde,22-01-2024,00:00,28-01-2024,23:59,0.12
Ordu,22-01-2024,00:00,28-01-2024,23:59,0.22
Rize,22-01-2024,00:00,28-01-2024,23:59,0.13
Sakarya,22-01-2024,00:00,28-01-2024,23:59,0.2
Samsun,22-01-2024,00:00,28-01-2024,23:59,0.26
Siirt,22-01-2024,00:00,28-01-2024,23:59,0.2
